country,year,land_type,national_yield,world_yield,yield_factor,qscore_2018
"Equatorial Guinea",2014,Infrastructure,0,0,0.224569,3A
Eritrea,2014,"Crop Land",0.591906,2.47127,0.239515,3A
Eritrea,2014,"Grazing Land",2.24,6.19,0.361874,3A
Eritrea,2014,"Marine Fishing Grounds",1232,503.836,2.44524,3A
Eritrea,2014,"Inland Fishing Grounds",0,0,1,3A
Eritrea,2014,"Forest Land",0.486457,1.81878,0.267463,3A
Eritrea,2014,Infrastructure,0,0,0.239515,3A
Estonia,2014,"Crop Land",3.60656,8.61872,0.418456,3A
Estonia,2014,"Grazing Land",5.31,6.19,0.857835,3A
Estonia,2014,"Marine Fishing Grounds",2156,503.836,4.27917,3A
Estonia,2014,"Inland Fishing Grounds",0,0,1,3A
Estonia,2014,"Forest Land",3.00619,1.81878,1.65286,3A
Estonia,2014,Infrastructure,0,0,0.418456,3A
Ethiopia,2014,"Crop Land",2.76275,2.89502,0.954313,3A
Ethiopia,2014,"Grazing Land",6.9,6.19,1.1147,3A
Ethiopia,2014,"Marine Fishing Grounds",0,503.836,0,3A
Ethiopia,2014,"Inland Fishing Grounds",0,0,1,3A
Ethiopia,2014,"Forest Land",0.486457,1.81878,0.267463,3A
Ethiopia,2014,Infrastructure,0,0,0.954313,3A
Fiji,2014,"Crop Land",15.1407,36.0968,0.419446,3A
Fiji,2014,"Grazing Land",0,6.19,1,3A
Fiji,2014,"Marine Fishing Grounds",264,503.836,0.52398,3A
Fiji,2014,"Inland Fishing Grounds",0,0,1,3A
Fiji,2014,"Forest Land",1.59317,1.81878,0.875951,3A
Fiji,2014,Infrastructure,0,0,0.419446,3A
Finland,2014,"Crop Land",4.70033,7.03475,0.66816,2A
Finland,2014,"Grazing Land",8,6.19,1.29241,2A
Finland,2014,"Marine Fishing Grounds",2041,503.836,4.05092,2A
Finland,2014,"Inland Fishing Grounds",0,0,1,2A
Finland,2014,"Forest Land",2.99226,1.81878,1.6452,2A
Finland,2014,Infrastructure,0,0,0.66816,2A
France,2014,"Crop Land",10.1603,7.13781,1.42345,3A
France,2014,"Grazing Land",13.01,6.19,2.10178,3A
France,2014,"Marine Fishing Grounds",425.473,503.836,0.844467,3A
France,2014,"Inland Fishing Grounds",0,0,1,3A
France,2014,"Forest Land",5.29007,1.81878,2.90858,3A
France,2014,Infrastructure,0,0,1.42345,3A
"French Guiana",2014,"Crop Land",7.956,13.0976,0.607442,2A
"French Guiana",2014,"Grazing Land",18.16,6.19,2.93376,2A
"French Guiana",2014,"Marine Fishing Grounds",1193,503.836,2.36783,2A
"French Guiana",2014,"Inland Fishing Grounds",0,0,1,2A
"French Guiana",2014,"Forest Land",3.98291,1.81878,2.18988,2A
"French Guiana",2014,Infrastructure,0,0,0.607442,2A
"French Polynesia",2014,"Crop Land",4.75012,5.36358,0.885624,2A
"French Polynesia",2014,"Grazing Land",0,6.19,1,2A
"French Polynesia",2014,"Marine Fishing Grounds",212,503.836,0.420772,2A
"French Polynesia",2014,"Inland Fishing Grounds",0,0,1,2A
"French Polynesia",2014,"Forest Land",1.80544,1.81878,0.992661,2A
"French Polynesia",2014,Infrastructure,0,0,0.885624,2A
Gabon,2014,"Crop Land",5.23057,14.9722,0.349352,2A
Gabon,2014,"Grazing Land",17.2,6.19,2.77868,2A
Gabon,2014,"Marine Fishing Grounds",1672,503.836,3.31854,2A
Gabon,2014,"Inland Fishing Grounds",0,0,1,2A
Gabon,2014,"Forest Land",1.99146,1.81878,1.09494,2A
Gabon,2014,Infrastructure,0,0,0.349352,2A
